Title,Impact factor,Publisher,Categories
Journal of Obstetrics and Gynaecology,,,
Journal of Obstetrics and Gynaecology Canada,,,
Journal of Obstetrics and Gynaecology Research,,,
Journal of Obstetrics and Gynecology of India,,,
Journal of Occupational and Environmental Hygiene,,,
Journal of Occupational and Environmental Medicine,,,
Journal of Occupational and Organizational Psychology,,,
Journal of Occupational Health,,,
Journal of Occupational Health Psychology,,,
Journal of Occupational Medicine and Toxicology,,,
Journal of Occupational Rehabilitation,,,
Journal of Occupational Science,,,
"Journal of Occupational Therapy	 Schools	 and Early Intervention",,,
Journal of Ocean and Coastal Economics,,,
Journal of Ocean Engineering and Marine Energy,,,
Journal of Ocean Engineering and Science,,,
Journal of Ocean Technology,,,
Journal of Ocean University of China,,,
Journal of Oceanography,,,
Journal of Oceanology and Limnology,,,
Journal of Ocular Pharmacology and Therapeutics,,,
Journal of Offender Rehabilitation,,,
Journal of Official Statistics,,,
Journal of Offshore Mechanics and Arctic Engineering,,,
Journal of Oil Palm Research,,,
Journal of Oleo Science,,,
Journal of Oncology,,,
Journal of Oncology Pharmacy Practice,,,
Journal of Oncology Practice,,,
"Journal of Open Innovation: Technology	 Market	 and Complexity",,,
Journal of Open Research Software,,,
Journal of Operation and Automation in Power Engineering,,,
Journal of Operational Oceanography,,,
Journal of Operational Risk,,,
Journal of Operations and Supply Chain Management,,,
Journal of Operations Management,,,
Journal of Operator Theory,,,
Journal of Ophthalmic and Vision Research,,,
Journal of Ophthalmic Inflammation and Infection,,,
Journal of Ophthalmology,,,
Journal of Opioid Management,,,
Journal of Optical Communications,,,
Journal of Optical Communications and Networking,,,
Journal of Optical Technology (A Translation of Opticheskii Zhurnal),,,
Journal of Optics (India),,,
Journal of Optics (United Kingdom),,,
Journal of Optimization in Industrial Engineering,,,
Journal of Optimization Theory and Applications,,,
Journal of Optoelectronics and Advanced Materials,,,
Journal of Optometry,,,
Journal of Oral and Facial Pain and Headache,,,
Journal of Oral and Maxillofacial Pathology,,,
Journal of Oral and Maxillofacial Surgery,,,
"Journal of Oral and Maxillofacial Surgery	 Medicine	 and Pathology",,,
Journal of Oral Biology and Craniofacial Research,,,
Journal of Oral Biosciences,,,
Journal of Oral Implantology,,,
Journal of Oral Medicine and Oral Surgery,,,
Journal of Oral Microbiology,,,
Journal of Oral Pathology and Medicine,,,
Journal of Oral Rehabilitation,,,
Journal of Oral Research,,,
Journal of oral science,,,
Journal of Organic Chemistry,,,
Journal of Organisational Transformation and Social Change,,,
Journal of Organization Design,,,
Journal of Organizational and End User Computing,,,
Journal of Organizational Behavior,,,
Journal of Organizational Behavior Management,,,
Journal of Organizational Change Management,,,
Journal of Organizational Computing and Electronic Commerce,,,
Journal of Organizational Effectiveness,,,
Journal of Organizational Ethnography,,,
Journal of Organometallic Chemistry,,,
Journal of Orofacial Orthopedics,,,
Journal of Orofacial Sciences,,,
Journal of Orthodontic Science,,,
Journal of Orthodontics,,,
Journal of Orthomolecular Medicine,,,
Journal of Orthopaedic and Sports Physical Therapy,,,
Journal of Orthopaedic Research,,,
Journal of Orthopaedic Science,,,
Journal of Orthopaedic Surgery,,,
Journal of Orthopaedic Surgery and Research,,,
Journal of Orthopaedic Translation,,,
Journal of Orthopaedic Trauma,,,
Journal of Orthopaedics,,,
Journal of Orthopaedics and Traumatology,,,
"Journal of Orthopaedics	 Trauma and Rehabilitation",,,
Journal of Orthoptera Research,,,
Journal of Osseointegration,,,
Journal of Osteoporosis,,,
Journal of Otolaryngology - Head and Neck Surgery,,,
Journal of Otolaryngology of Japan,,,
Journal of Otology,,,
Journal of Outdoor and Environmental Education,,,
Journal of Outdoor Recreation and Tourism,,,
Journal of Ovarian Research,,,
Journal of Ovonic Research,,,
Journal of Pacific History,,,
Journal of Pacific Rim Psychology,,,
Journal of Paediatrics and Child Health,,,
Journal of Pain,,,
Journal of Pain and Palliative Care Pharmacotherapy,,,
Journal of Pain and Symptom Management,,,
Journal of Pain Management,,,
Journal of Pain Research,,,
Journal of Pakistan Association of Dermatologists,,,
Journal of Palaeogeography,,,
Journal of Paleolimnology,,,
Journal of Paleontology,,,
Journal of Palestine Studies,,,
Journal of Palliative Care,,,
Journal of Palliative Medicine,,,
Journal of Parallel and Distributed Computing,,,
Journal of Parapsychology,,,
Journal of Parasitic Diseases,,,
Journal of Parasitology,,,
Journal of Parasitology Research,,,
Journal of Parenteral and Enteral Nutrition,,,
Journal of Parkinson's Disease,,,
"Journal of pastoral care and counseling : JPCC	 The",,,
Journal of Pathology,,,
Journal of Pathology and Translational Medicine,,,
Journal of Pathology Informatics,,,
Journal of Pathology: Clinical Research,,,
Journal of Patient Safety,,,
Journal of Patient-Reported Outcomes,,,
Journal of Payments Strategy and Systems,,,
Journal of Peace Education,,,
Journal of Peace Research,,,
Journal of Peacebuilding and Development,,,
Journal of Peasant Studies,,,
Journal of Pedagogy,,,
Journal of Pediatric and Adolescent Gynecology,,,
Journal of Pediatric and Neonatal Individualized Medicine,,,
Journal of Pediatric Endocrinology and Metabolism,,,
Journal of Pediatric Gastroenterology and Nutrition,,,
Journal of Pediatric Health Care,,,
Journal of Pediatric Hematology/Oncology,,,
Journal of Pediatric Infectious Diseases,,,
Journal of Pediatric Neurology,,,
Journal of Pediatric Neurosciences,,,
Journal of Pediatric Nursing,,,
Journal of Pediatric Oncology Nursing,,,
Journal of Pediatric Ophthalmology and Strabismus,,,
Journal of Pediatric Orthopaedics,,,
Journal of Pediatric Orthopaedics Part B,,,
Journal of Pediatric Pharmacology and Therapeutics,,,
Journal of Pediatric Psychology,,,
Journal of Pediatric Rehabilitation Medicine,,,
Journal of Pediatric Surgery,,,
Journal of Pediatric Surgery Case Reports,,,
Journal of Pediatric Surgical Nursing,,,
Journal of Pediatric Urology,,,
Journal of Pediatrics,,,
Journal of Pediatrics: X,,,
Journal of Peer Learning,,,
Journal of Pension Economics and Finance,,,
Journal of Pentecostal Theology,,,
Journal of Peptide Science,,,
Journal of Performance of Constructed Facilities,,,
Journal of Perianesthesia Nursing,,,
Journal of Perinatal and Neonatal Nursing,,,
Journal of Perinatal Medicine,,,
Journal of Perinatology,,,
Journal of Periodontal and Implant Science,,,
Journal of Periodontal Research,,,
Journal of Periodontology,,,
Journal of Perioperative Nursing,,,
Journal of perioperative practice,,,
Journal of Persianate Studies,,,
Journal of Personal Selling and Sales Management,,,
Journal of Personality,,,
Journal of Personality and Social Psychology,,,
Journal of Personality Assessment,,,
Journal of Personality Disorders,,,
Journal of Personalized Medicine,,,
Journal of Personnel Psychology,,,
Journal of Pest Science,,,
Journal of Pesticide Sciences,,,
Journal of Petroleum Exploration and Production Technology,,,
Journal of Petroleum Geology,,,
Journal of Petroleum Science and Engineering,,,
Journal of Petrology,,,
Journal of Pharmaceutical Analysis,,,
Journal of Pharmaceutical and Biomedical Analysis,,,
Journal of Pharmaceutical Health Care and Sciences,,,
Journal of Pharmaceutical Health Services Research,,,
Journal of Pharmaceutical Innovation,,,
Journal of Pharmaceutical Investigation,,,
Journal of Pharmaceutical Negative Results,,,
Journal of Pharmaceutical Policy and Practice,,,
Journal of Pharmaceutical Sciences,,,
Journal of Pharmaceutical Sciences and Research (discontinued),,,
Journal of Pharmacokinetics and Pharmacodynamics,,,
Journal of Pharmacological and Toxicological Methods,,,
Journal of Pharmacological Sciences,,,
Journal of Pharmacology and Experimental Therapeutics,,,
Journal of Pharmacology and Pharmacotherapeutics,,,
Journal of Pharmacopuncture,,,
Journal of Pharmacy and Bioallied Sciences,,,
Journal of Pharmacy and Nutrition Sciences,,,
Journal of Pharmacy and Pharmaceutical Sciences,,,
Journal of Pharmacy and Pharmacognosy Research,,,
Journal of Pharmacy and Pharmacology,,,
Journal of Pharmacy Practice,,,
Journal of Pharmacy Practice and Research,,,
Journal of Pharmacy Technology,,,
Journal of Phase Equilibria and Diffusion,,,
Journal of Phenomenological Psychology,,,
Journal of Philosophical Economics: Reflections on Economic and Social Issues,,,
Journal of Philosophical Logic,,,
Journal of Philosophical Research,,,
Journal of Philosophy,,,
Journal of Philosophy ARHE,,,
Journal of Philosophy of Education,,,
Journal of Phonetics,,,
Journal of Photochemistry and Photobiology A: Chemistry,,,
Journal of Photochemistry and Photobiology B: Biology,,,
Journal of Photochemistry and Photobiology C: Photochemistry Reviews,,,
Journal of Photonics for Energy,,,
Journal of Photopolymer Science and Technology,,,
Journal of Phycology,,,
Journal of Physical Activity and Health,,,
Journal of Physical Agents,,,
Journal of Physical and Chemical Reference Data,,,
Journal of Physical Chemistry A,,,
Journal of Physical Chemistry B,,,
Journal of Physical Chemistry C,,,
Journal of Physical Chemistry Letters,,,
Journal of Physical Education (Maringa),,,
Journal of Physical Education and Sport,,,
"Journal of Physical Education	 Recreation and Dance",,,
Journal of Physical Oceanography,,,
Journal of Physical Organic Chemistry,,,
Journal of Physical Science,,,
Journal of Physical Sciences,,,
Journal of Physical Studies,,,
Journal of Physician Assistant Education,,,
Journal of Physics A: Mathematical and Theoretical,,,
Journal of Physics and Chemistry of Solids,,,
"Journal of Physics B: Atomic	 Molecular and Optical Physics",,,
Journal of Physics Communications,,,
Journal of Physics Condensed Matter,,,
Journal of Physics G: Nuclear and Particle Physics,,,
Journal of Physics: Conference Series,,,
Journal of Physiological Anthropology,,,
Journal of Physiological Sciences,,,
Journal of Physiology,,,
Journal of Physiology and Biochemistry,,,
Journal of Physiology and Pharmacology,,,
Journal of Physiotherapy,,,
Journal of Phytology,,,
Journal of Phytopathology,,,
Journal of Pidgin and Creole Languages,,,
Journal of Pineal Research,,,
"Journal of Pipeline Engineering	The",,,
Journal of Pipeline Systems Engineering and Practice,,,
Journal of Place Management and Development,,,
Journal of Planar Chromatography - Modern TLC,,,
Journal of Plankton Research,,,
Journal of Planning and Environment Law,,,
Journal of Planning Education and Research,,,
Journal of Planning History,,,
Journal of Planning Literature,,,
Journal of Plant Biochemistry and Biotechnology,,,
Journal of Plant Biology,,,
Journal of Plant Biotechnology,,,
Journal of Plant Diseases and Protection,,,
Journal of Plant Ecology,,,
Journal of Plant Growth Regulation,,,
Journal of Plant Interactions,,,
Journal of Plant Nutrition,,,
Journal of Plant Nutrition and Fertilizers,,,
Journal of Plant Nutrition and Soil Science,,,
Journal of Plant Pathology,,,
Journal of Plant Physiology,,,
Journal of Plant Protection Research,,,
Journal of Plant Registrations,,,
Journal of Plant Research,,,
Journal of Plant Resources and Environment,,,
Journal of Plantation Crops,,,
Journal of Plasma Physics,,,
Journal of Plastic Film and Sheeting,,,
Journal of Plastic Surgery and Hand Surgery,,,
"Journal of Plastic	 Reconstructive and Aesthetic Surgery",,,
Journal of Plastination,,,
Journal of Poetry Therapy,,,
Journal of Police and Criminal Psychology,,,
"Journal of Policing	 Intelligence and Counter Terrorism",,,
Journal of Policy Analysis and Management,,,
Journal of Policy and Practice in Intellectual Disabilities,,,
Journal of Policy History,,,
Journal of Policy Modeling,,,
Journal of Policy Practice,,,
"Journal of Policy Research in Tourism	 Leisure and Events",,,
Journal of Politeness Research,,,
Journal of Political and Military Sociology,,,
Journal of Political Ecology,,,
Journal of Political Economy,,,
Journal of Political Ideologies,,,
Journal of Political Marketing,,,
Journal of Political Philosophy,,,
Journal of Political Power,,,
Journal of Political Science Education,,,
Journal of Politics,,,
Journal of Politics in Latin America,,,
Journal of Polymer Engineering,,,
Journal of Polymer Research,,,
"Journal of Polymer Science	 Part A: Polymer Chemistry",,,
"Journal of Polymer Science	 Part B: Polymer Physics",,,
Journal of Polymers and the Environment,,,
Journal of Popular Culture,,,
Journal of Popular Film and Television,,,
Journal of Popular Music Studies,,,
Journal of Popular Television,,,
Journal of Population and Social Studies,,,
Journal of Population Economics,,,
Journal of Population Research,,,
Journal of Population Therapeutics and Clinical Pharmacology,,,
Journal of Porous Materials,,,
Journal of Porous Media,,,
Journal of Porphyrins and Phthalocyanines,,,
Journal of Portfolio Management,,,
Journal of Portuguese Linguistics,,,
Journal of Positive Behavior Interventions,,,
Journal of Positive Psychology,,,
Journal of Positive Psychology and Wellbeing,,,
Journal of Post Keynesian Economics,,,
Journal of Postcolonial Writing,,,
Journal of Postgraduate Medical Institute,,,
Journal of Postgraduate Medicine,,,
Journal of Poultry Science,,,
Journal of Poverty,,,
Journal of Poverty and Social Justice,,,
Journal of Power Electronics,,,
Journal of Power Sources,,,
Journal of Practical Oncology,,,
Journal of Practice Teaching and Learning,,,
Journal of Pragmatics,,,
Journal of Pre-College Engineering Education Research,,,
Journal of Pregnancy,,,
Journal of Pre-Raphaelite Studies-New Series,,,
Journal of Presbyterian History,,,
"Journal of Pressure Vessel Technology	 Transactions of the ASME",,,
Journal of Prevention and Intervention in the Community,,,
"journal of prevention of Alzheimer's disease	 The",,,
Journal of Preventive Medicine and Hygiene,,,
Journal of Preventive Medicine and Public Health,,,
Journal of primary care and community health,,,
Journal of Primary Health Care,,,
Journal of Primary Prevention,,,
Journal of Prime Research in Mathematics,,,
Journal of Print and Media Technology Research,,,
Journal of Private Enterprise,,,
Journal of Private Equity,,,
Journal of Private International Law,,,
Journal of Probability and Statistics (discontinued),,,
Journal of Problem Solving,,,
Journal of Process Control,,,
Journal of Product and Brand Management,,,
Journal of Product Innovation Management,,,
Journal of Productivity Analysis,,,
Journal of Professional Capital and Community,,,
Journal of Professional Nursing,,,
Journal of Professions and Organization,,,
Journal of Progressive Human Services,,,
Journal of Promotion Management,,,
Journal of Property Investment and Finance,,,
Journal of Property Research,,,
"Journal of Property	 Planning and Environmental Law",,,
Journal of Propulsion and Power,,,
Journal of Prosthetic Dentistry,,,
Journal of Prosthetics and Orthotics,,,
Journal of Prosthodontic Research,,,
Journal of Prosthodontics,,,
Journal of Protective Coatings and Linings,,,
Journal of Proteome Research,,,
Journal of Proteomics,,,
Journal of Pseudo-Differential Operators and Applications,,,
Journal of Psoriasis and Psoriatic Arthritis,,,
Journal of Psychiatric and Mental Health Nursing,,,
Journal of Psychiatric Nursing,,,
Journal of Psychiatric Practice,,,
Journal of Psychiatric Research,,,
Journal of Psychiatry and Neuroscience,,,
Journal of Psychoactive Drugs,,,
Journal of Psychoeducational Assessment,,,
Journal of Psycholinguistic Research,,,
Journal of Psychological and Educational Research,,,
Journal of Psychologists and Counsellors in Schools,,,
Journal of Psychology and Theology,,,
Journal of Psychology in Africa,,,
Journal of Psychology: Interdisciplinary and Applied,,,
Journal of Psychopathology and Behavioral Assessment,,,
Journal of Psychopharmacology,,,
Journal of Psychophysiology,,,
Journal of Psychosocial Nursing and Mental Health Services,,,
Journal of Psychosocial Oncology,,,
Journal of Psychosomatic Obstetrics and Gynaecology,,,
Journal of Psychosomatic Research,,,
Journal of Psychotherapy Integration,,,
Journal of Public Administration Research and Theory,,,
Journal of Public Affairs,,,
Journal of Public Affairs Education,,,
Journal of Public and International Affairs,,,
Journal of Public and Nonprofit Affairs,,,
"Journal of Public Budgeting	 Accounting and Financial Management",,,
Journal of Public Child Welfare,,,
Journal of Public Deliberation,,,
Journal of Public Economic Theory,,,
Journal of Public Economics,,,
Journal of Public Health,,,
Journal of Public Health and Development,,,
Journal of Public Health Dentistry,,,
Journal of Public Health in Africa,,,
Journal of Public Health Management and Practice,,,
Journal of Public Health Policy,,,
Journal of Public Health Research,,,
Journal of Public Mental Health,,,
Journal of Public Policy,,,
Journal of Public Policy and Marketing,,,
Journal of Public Procurement,,,
Journal of Public Relations Research,,,
Journal of Public Transportation,,,
Journal of Punjab Academy of Forensic Medicine and Toxicology,,,
Journal of Punjab Studies,,,
Journal of Purchasing and Supply Management,,,
Journal of Pure and Applied Algebra,,,
Journal of Pure and Applied Microbiology,,,
Journal of Quality,,,
Journal of Quality Assurance in Hospitality and Tourism,,,
Journal of Quality in Maintenance Engineering,,,
Journal of Quality Technology,,,
Journal of Quantitative Analysis in Sports,,,
Journal of Quantitative Criminology,,,
Journal of Quantitative Linguistics,,,
Journal of Quantitative Spectroscopy and Radiative Transfer,,,
Journal of Quaternary Science,,,
Journal of Qur'anic Studies,,,
"Journal of Race	 Ethnicity and Politics",,,
Journal of racial and ethnic health disparities,,,
Journal of Radars,,,
Journal of Radiation Research,,,
Journal of Radio and Audio Media,,,
Journal of Radioanalytical and Nuclear Chemistry,,,
Journal of Radiological Protection,,,
Journal of Radiology Case Reports,,,
Journal of Radiology Nursing,,,
Journal of Radiosurgery and SBRT,,,
Journal of Radiotherapy in Practice,,,
Journal of Rail Transport Planning and Management,,,
Journal of Railway Engineering Society,,,
Journal of Raman Spectroscopy,,,
Journal of Rangeland Science,,,
Journal of Raptor Research,,,
Journal of Rare Cardiovascular Diseases,,,
Journal of Rare Earths,,,
Journal of Rational - Emotive and Cognitive - Behavior Therapy,,,
Journal of Real Estate Finance and Economics,,,
Journal of Real Estate Literature,,,
Journal of Real Estate Portfolio Management,,,
Journal of Real Estate Research,,,
Journal of Real-Time Image Processing,,,
Journal of Receptor and Signal Transduction Research,,,
"Journal of Receptor	 Ligand and Channel Research",,,
Journal of Reconstructive Microsurgery,,,
Journal of Reformed Theology,,,
Journal of Refractive Surgery,,,
Journal of Refugee Studies,,,
Journal of Regional Analysis and Policy,,,
Journal of Regional and City Planning,,,
Journal of Regional Science,,,
Journal of Regional Security,,,
Journal of registry management,,,
Journal of Regulatory Economics,,,
Journal of Rehabilitation,,,
Journal of Rehabilitation Medicine,,,
Journal of Reinforced Plastics and Composites,,,
Journal of Relationship Marketing,,,
Journal of Relationships Research,,,
Journal of Reliable Intelligent Environments,,,
Journal of Religion,,,
Journal of Religion and Health,,,
Journal of Religion and Popular Culture,,,
Journal of Religion and Spirituality in Social Work,,,
Journal of Religion and Violence,,,
Journal of Religion in Africa,,,
Journal of Religion in Europe,,,
Journal of Religion in Japan,,,
"Journal of Religion	 Spirituality and Aging",,,
Journal of Religious and Theological Information,,,
Journal of Religious Ethics,,,
Journal of Religious History,,,
Journal of Remanufacturing,,,
Journal of Renal Care,,,
Journal of Renal Injury Prevention,,,
Journal of Renal Nutrition,,,
Journal of Renewable and Sustainable Energy,,,
Journal of Renewable Materials,,,
Journal of Reports in Pharmaceutical Sciences,,,
Journal of Reproduction and Development,,,
Journal of Reproduction and Infertility,,,
Journal of Reproductive and Infant Psychology,,,
Journal of Reproductive Immunology,,,
"Journal of reproductive medicine	 The",,,
Journal of Research Administration,,,
Journal of Research in Applied Linguistics,,,
Journal of Research in Childhood Education,,,
Journal of Research in Crime and Delinquency,,,
Journal of Research in Education Sciences,,,
Journal of Research in Gender Studies (discontinued),,,
Journal of Research in Health Sciences,,,
Journal of Research in Interactive Marketing,,,
Journal of Research in International Education,,,
Journal of Research in Marketing and Entrepreneurship,,,
Journal of Research in Medical Sciences,,,
Journal of Research in Music Education,,,
Journal of Research in Nursing,,,
Journal of Research in Personality,,,
Journal of Research in Pharmacy,,,
Journal of Research in Reading,,,
Journal of Research in Science Teaching,,,
Journal of Research in Special Educational Needs,,,
Journal of Research of the National Institute of Standards and Technology,,,
Journal of Research on Adolescence,,,
Journal of Research on Christian Education,,,
Journal of Research on Educational Effectiveness,,,
Journal of Research on Leadership Education,,,
Journal of Research on Technology in Education,,,
Journal of Research on the Lepidoptera,,,
Journal of Research Practice,,,
Journal of Responsible Innovation,,,
Journal of Retailing,,,
Journal of Retailing and Consumer Services,,,
Journal of Retirement,,,
Journal of Revenue and Pricing Management,,,
Journal of Rheology,,,
Journal of Rheumatology,,,
"Journal of rheumatology. Supplement	 The",,,
Journal of Risk,,,
Journal of Risk and Insurance,,,
Journal of Risk and Uncertainty,,,
Journal of Risk Finance,,,
Journal of Risk Management in Financial Institutions,,,
Journal of Risk Model Validation,,,
Journal of Risk Research,,,
Journal of RNA and Genomics,,,
Journal of RNAi and Gene Silencing,,,
Journal of Robotic Surgery,,,
Journal of Robotics,,,
Journal of Robotics and Mechatronics,,,
Journal of Rock Mechanics and Geotechnical Engineering,,,
Journal of Roman Archaeology,,,
Journal of Roman Studies,,,
Journal of Romance Studies,,,
Journal of Rural Development,,,
Journal of Rural Health,,,
Journal of Rural Studies,,,
Journal of Russian Laser Research,,,
Journal of Safety Research,,,
Journal of SAFOG,,,
Journal of Sandwich Structures and Materials,,,
Journal of Saudi Chemical Society,,,
Journal of Scandinavian Cinema,,,
Journal of Scheduling,,,
Journal of Scholarly Publishing,,,
Journal of School Administration Research and Development,,,
Journal of School Choice,,,
Journal of School Health,,,
Journal of School Nursing,,,
Journal of School Psychology,,,
Journal of School Violence,,,
Journal of Science and Medicine in Sport,,,
Journal of Science and Technology in the Tropics,,,
Journal of Science and Technology of the Arts,,,
Journal of Science and Technology Policy Management,,,
Journal of Science Communication,,,
Journal of Science Education and Technology,,,
Journal of Science Teacher Education,,,
Journal of Science: Advanced Materials and Devices,,,
"Journal of Sciences	 Islamic Republic of Iran",,,
Journal of Scientific and Industrial Research,,,
Journal of Scientific Computing,,,
Journal of Scientometric Research,,,
Journal of Scleroderma and Related Disorders,,,
Journal of Scottish Historical Studies,,,
Journal of Scottish Philosophy,,,
Journal of Screenwriting,,,
Journal of Sea Research,,,
Journal of Second Language Writing,,,
Journal of Security and Sustainability Issues (discontinued),,,
Journal of Sedimentary Research,,,
Journal of Seed Science,,,
Journal of Seismic Exploration,,,
Journal of Seismology,,,
Journal of Self-Governance and Management Economics,,,
Journal of Semantics,,,
Journal of Semiconductor Technology and Science,,,
Journal of Semiconductors,,,
Journal of Semitic Studies,,,
Journal of Sensor and Actuator Networks,,,
Journal of Sensors,,,
Journal of Sensors and Sensor Systems,,,
Journal of Sensory Studies,,,
Journal of Separation Science,,,
Journal of Septuagint and Cognate Studies,,,
Journal of Service Management,,,
Journal of Service Research,,,
Journal of Service Theory and Practice,,,
Journal of Services Marketing,,,
Journal of Settlements and Spatial Planning,,,
Journal of Sex and Marital Therapy,,,
Journal of Sex Research,,,
Journal of Sexual Aggression,,,
Journal of Sexual Medicine,,,
Journal of Shanghai Jiaotong University (Medical Science),,,
Journal of Shanghai Jiaotong University (Science),,,
Journal of Shellfish Research,,,
Journal of Shi'a Islamic Studies,,,
Journal of Ship Production and Design,,,
Journal of Ship Research,,,
Journal of Shoulder and Elbow Surgery,,,
Journal of Siberian Federal University - Humanities and Social Sciences,,,
Journal of Siberian Federal University - Mathematics and Physics,,,
Journal of Siberian Federal University: Chemistry,,,
Journal of Sichuan University (Medical Science Edition),,,
Journal of Signal Processing Systems,,,
Journal of Silk,,,
Journal of Simulation,,,
Journal of Singularities,,,
Journal of Skin Cancer,,,
Journal of Slavic Linguistics,,,
Journal of Slavic Military Studies,,,
Journal of Sleep Research,,,
Journal of Small Animal Practice,,,
Journal of Small Business and Enterprise Development,,,
Journal of Small Business and Entrepreneurship,,,
Journal of Small Business Management,,,
Journal of Small Business Strategy,,,
Journal of Smoking Cessation,,,
Journal of Smooth Muscle Research,,,
Journal of Social and Clinical Psychology,,,
Journal of Social and Personal Relationships,,,
Journal of Social and Political Psychology,,,
Journal of Social Archaeology,,,
Journal of Social Development in Africa,,,
Journal of Social Distress and the Homeless,,,
Journal of Social Entrepreneurship,,,
Journal of Social History,,,
Journal of Social Issues,,,
Journal of Social Marketing,,,
Journal of Social Ontology,,,
Journal of Social Philosophy,,,
Journal of Social Policy,,,
Journal of Social Psychology,,,
Journal of Social Research and Policy,,,
Journal of Social Science Education,,,
Journal of Social Sciences,,,
Journal of Social Service Research,,,
Journal of Social Structure,,,
Journal of Social Studies Education Research,,,
Journal of Social Studies Research,,,
Journal of Social Welfare and Family Law,,,
Journal of Social Work,,,
Journal of Social Work Education,,,
Journal of Social Work in Disability and Rehabilitation,,,
Journal of Social Work in End-of-Life and Palliative Care,,,
Journal of Social Work Practice,,,
Journal of Social Work Practice in the Addictions,,,
"Journal of Social	 Political	 and Economic Studies",,,
Journal of Sociolinguistics,,,
Journal of Sociology,,,
Journal of Sociology and Social Anthropology (discontinued),,,
Journal of Sociology and Social Welfare,,,
Journal of software: Evolution and Process,,,
Journal of Soil Science and Plant Nutrition,,,
Journal of Soils and Sediments,,,
Journal of Soils and Water Conservation,,,
"Journal of Solar Energy Engineering	 Transactions of the ASME",,,
Journal of Sol-Gel Science and Technology,,,
Journal of Solid Mechanics (discontinued),,,
Journal of Solid State Chemistry,,,
Journal of Solid State Electrochemistry,,,
Journal of Solid Waste Technology and Management,,,
Journal of Solution Chemistry,,,
Journal of Somali Studies,,,
Journal of Song-Yuan Studies,,,
Journal of Sound and Vibration,,,
Journal of South American Earth Sciences,,,
Journal of South Asian Development,,,
Journal of South China Agricultural University,,,
Journal of South India Medicolegal Association,,,
Journal of Southeast Asian American Education and Advancement,,,
Journal of Southeast Asian Economies,,,
Journal of Southeast Asian Studies,,,
Journal of Southeast European and Black Sea,,,
Journal of Southeast University (English Edition),,,
Journal of Southern African Studies,,,
Journal of Southern Hemisphere Earth Systems Science,,,
Journal of Southern History,,,
Journal of Space Safety Engineering,,,
Journal of Space Weather and Space Climate,,,
Journal of Spacecraft and Rockets,,,
Journal of Spacecraft Technology,,,
Journal of Spanish Cultural Studies,,,
Journal of Spanish Language Teaching,,,
Journal of Spatial Information Science,,,
Journal of Spatial Science,,,
Journal of Special Education,,,
Journal of Special Education and Rehabilitation,,,
Journal of Special Education Leadership,,,
Journal of Special Education Technology,,,
Journal of special operations medicine : a peer reviewed journal for SOF medical professionals,,,
Journal of Specialised Translation,,,
Journal of Spectral Imaging,,,
Journal of Spectral Theory,,,
Journal of Spectroscopy,,,
Journal of Speculative Philosophy,,,
"Journal of Speech	 Language	 and Hearing Research",,,
Journal of Spinal Cord Medicine,,,
Journal of Spine Surgery,,,
Journal of Spiritual Formation and Soul Care,,,
Journal of Spirituality in Mental Health,,,
Journal of Sport and Exercise Psychology,,,
Journal of Sport and Health Research,,,
Journal of Sport and Health Science,,,
Journal of Sport and Social Issues,,,
Journal of Sport and Tourism,,,
Journal of sport history,,,
Journal of Sport Management,,,
Journal of Sport Psychology in Action,,,
Journal of Sport Rehabilitation,,,
Journal of Sports Economics,,,
Journal of Sports Medicine and Physical Fitness,,,
Journal of Sports Science and Medicine,,,
Journal of Sports Sciences,,,
Journal of Statistical Computation and Simulation,,,
Journal of Statistical Distributions and Applications,,,
Journal of Statistical Mechanics: Theory and Experiment,,,
Journal of Statistical Physics,,,
Journal of Statistical Planning and Inference,,,
Journal of Statistical Software,,,
Journal of Statistical Theory and Practice,,,
Journal of Statistics Applications and Probability,,,
Journal of Statistics Education,,,
Journal of Stem Cells,,,
Journal of Stem Cells and Regenerative Medicine,,,
Journal of Steroid Biochemistry and Molecular Biology,,,
Journal of Stomatology,,,
"Journal of Stomatology	 Oral and Maxillofacial Surgery",,,
Journal of Stored Products Research,,,
Journal of Strain Analysis for Engineering Design,,,
Journal of Strategic Information Systems,,,
Journal of Strategic Marketing,,,
Journal of Strategic Security,,,
Journal of Strategic Studies,,,
Journal of Strategy and Management,,,
Journal of Strength and Conditioning Research,,,
Journal of Stroke,,,
Journal of Stroke and Cerebrovascular Diseases,,,
Journal of Structural and Construction Engineering,,,
Journal of Structural Biology,,,
Journal of Structural Biology: X,,,
Journal of Structural Chemistry,,,
Journal of Structural Engineering,,,
Journal of Structural Engineering (Madras),,,
Journal of Structural Fire Engineering,,,
Journal of Structural Geology,,,
Journal of Structural Integrity and Maintenance,,,
Journal of Structured Finance,,,
Journal of Student Affairs Research and Practice,,,
Journal of Studies in International Education,,,
Journal of Studies on Alcohol and Drugs,,,
Journal of studies on alcohol and drugs. Supplement,,,
Journal of Substance Abuse Treatment,,,
Journal of Substance Use,,,
Journal of Sufi Studies,,,
Journal of Sulfur Chemistry,,,
Journal of Supercomputing,,,
Journal of Superconductivity and Novel Magnetism,,,
Journal of Supercritical Fluids,,,
Journal of Superhard Materials,,,
Journal of Supply Chain Management,,,
Journal of Surface Investigation,,,
Journal of Surface Science and Technology,,,
